Date,,Rt-1,Rt-2,Rt-7,Rt-30,Rt-91,Rt-365,,Return t+1 to t+7
11/4/2014,,-0.003475312,-0.002929983,-0.013317527,-0.022888917,-0.050769226,-0.147726374,,0.003991299
11/3/2014,,0.000545329,0.011915882,-0.028197787,-0.026364228,-0.044500978,-0.154714014,,0.013965546
10/31/2014,,0.011370553,0.017760695,-0.02627703,-0.036922438,-0.05115048,-0.156555125,,0.007204605
10/30/2014,,0.006390142,0.004876957,-0.022572092,-0.011907309,-0.036719699,-0.142344308,,0.006865067
10/29/2014,,-0.001513185,0.009891763,-0.027739742,-0.002881371,-0.01038376,-0.130974782,,0.024052948
10/28/2014,,0.011404948,0.01002952,-0.02211666,-0.002573794,-0.01204925,-0.137807745,,0.019896391
10/27/2014,,-0.001375428,0.006290187,-0.030328877,0.008831154,0.003662259,-0.127992881,,0.022158872
10/24/2014,,0.007665615,0.019223407,-0.041367248,0.015808832,0.001882291,-0.133925445,,0.031135431
10/23/2014,,0.011557792,0.004421525,-0.045443224,0.015677022,0.014240463,-0.129576692,,0.032897201
10/22/2014,,-0.007136266,0.012480899,-0.033026899,0.032975586,0.025747941,-0.113218638,,0.015094662
10/21/2014,,0.019617165,0.029280107,-0.033374032,0.033592282,0.016394143,-0.12612954,,0.021071621
10/20/2014,,0.009662942,0.021404534,-0.015303041,0.053209448,0.031662812,-0.106569686,,0.026462363
10/17/2014,,0.011741592,0.010883058,0.01092326,0.058457997,0.043198988,-0.103638442,,0.039602898
10/16/2014,,-0.000858533,-0.007647667,0.034144899,0.068853705,0.044773242,-0.098557909,,0.035607286
10/15/2014,,-0.006789134,-0.005242959,0.053318849,0.060484997,0.055345726,-0.1132857,,0.061234957
10/14/2014,,0.001546175,-0.015017184,0.029191479,0.054449471,0.044862107,-0.112794355,,0.048749014
10/13/2014,,-0.016563359,-0.028043406,0.046294371,0.055995645,0.048282559,-0.115234165,,0.017153775
10/10/2014,,-0.011480047,-0.031512531,0.030902118,0.044141726,0.026696458,-0.138220056,,-0.012308996
10/9/2014,,-0.020032483,-0.002694248,0.008472876,0.028905947,0.013842168,-0.171028938,,-0.022409187
10/8/2014,,0.017338236,0.001781518,-0.011713951,0.015224859,-0.002225491,-0.191786384,,-0.06998297
10/7/2014,,-0.015556717,-0.016727823,0.019268861,0.035152114,0.010638517,-0.162733155,,-0.043385088
10/6/2014,,-0.001171106,0.009778089,0.00634794,0.019595397,0.00153256,-0.169607572,,-0.035760918
10/3/2014,,0.010949195,0.011103538,0.006997595,0.015386512,0.003848872,-0.178326808,,-0.035485874
10/2/2014,,0.000154343,-0.013490233,0.010032797,0.026884188,0.014798067,-0.158113899,,-0.015397946
10/1/2014,,-0.013644576,-0.016280372,0.02645424,0.027536918,0.010046343,-0.157014247,,0.011011399
9/30/2014,,-0.002635796,-0.004456557,0.005012239,0.013892342,-0.004612777,-0.178543858,,-0.017074284
9/29/2014,,-0.001820761,0.006093232,0.008117215,0.011256546,-0.013919495,-0.175837074,,-0.012265736
9/26/2014,,0.007913993,-0.008353107,0.014049416,0.007141256,-0.015229422,-0.173050624,,0.005793577
9/25/2014,,-0.0162671,-0.008469675,0.022864911,0.01545468,-0.009257897,-0.168974559,,-0.005199074
9/24/2014,,0.007797425,0.002056653,0.001281917,-0.001461585,-0.024808924,-0.182347095,,-0.024720246
9/23/2014,,-0.005740772,-0.013493735,0.007733459,0.001278144,-0.021521115,-0.172193023,,-0.006789285
9/22/2014,,-0.007752963,-0.008654464,-0.005517488,-0.004462628,-0.021219531,-0.173295542,,-0.0037362
9/19/2014,,-0.000901502,0.004414393,-0.012516843,-0.013572021,-0.028666243,-0.174032417,,-0.020931335
9/18/2014,,0.005315895,0.006661778,-0.00755999,-0.01714146,-0.031595941,-0.173256646,,-0.024208942
9/17/2014,,0.001345883,0.008856057,-0.003393011,-0.017030877,-0.02740039,-0.17944847,,-0.011588581
9/16/2014,,0.007510174,0.006756567,-0.005802859,-0.024029397,-0.033367393,-0.182555166,,-0.013690999
9/15/2014,,-0.000753607,-0.006611962,0.00805871,-0.016519223,-0.028632761,-0.1808158,,-0.00090675
9/12/2014,,-0.005858356,-0.00470944,0.009894123,-0.021779212,-0.030210155,-0.183816093,,0.005957325
9/11/2014,,0.001148916,0.004904648,-0.000449409,-0.034383725,-0.0391124,-0.187014501,,0.00707138
9/10/2014,,0.003755732,-0.002595663,0.002146905,-0.031840627,-0.030858452,-0.18899917,,0.010433647
9/9/2014,,-0.006351395,-0.008940415,0.006451117,-0.030978642,-0.02362014,-0.192613399,,0.006696732
9/8/2014,,-0.00258902,0.001896156,0.000598108,-0.037330037,-0.030073812,-0.208495314,,-0.00902218
9/5/2014,,0.004485176,0.003037778,-0.001990911,-0.045992098,-0.033685936,-0.21156618,,-0.008798267
9/4/2014,,-0.001447397,-0.001995878,-0.000349731,-0.041819424,-0.033972121,-0.20834721,,-0.000349724
9/3/2014,,-0.000548481,-0.001046867,-0.001247661,-0.033523262,-0.041920392,-0.218033584,,-0.007847842
9/2/2014,,-0.000498386,0.002345609,-0.001396712,-0.041266574,-0.044489646,-0.223093755,,-0.009730433
8/29/2014,,0.002843995,0.002294528,-0.007601958,-0.018758935,-0.045610689,-0.220419634,,-0.000248839
8/28/2014,,-0.000549467,-0.000948897,-0.003202882,-0.016067245,-0.044376858,-0.21916059,,-0.001397829
8/27/2014,,-0.00039943,0.000249734,-0.006663861,-0.012310151,-0.050085896,-0.223254871,,0.006243309
8/26/2014,,0.000649164,0.005706861,-0.009731229,-0.013114121,-0.049754071,-0.207439218,,0.004728672
8/25/2014,,0.005057696,0.003502615,-0.014287376,-0.012464957,-0.055232654,-0.203062101,,0.003189631
8/22/2014,,-0.001555081,0.001356431,-0.017574083,-0.002765017,-0.050174958,-0.201370991,,0.004138531
8/21/2014,,0.002911512,0.005579449,-0.018924845,-0.00653763,-0.055730728,-0.211999996,,0.005552935
8/20/2014,,0.002667937,0.007873249,-0.020724035,-0.007974614,-0.055248409,-0.202909238,,0.002508279
8/19/2014,,0.005205312,0.013549715,-0.024802254,-0.003433442,-0.06096961,-0.20514519,,0.011592141
